Image names,Worm 1 (blue) integrated Intensity,Worm 2 (teal) integrated Intensity,Worm 3 (green) integrated Intensity,Worm 4 (yellow/red) integrated Intensity,Worm 5 (orange) integrated Intensity,Worm 1 (blue) integrated Area,Worm 2 (teal) integrated Area,Worm 3 (green) integrated Area,Worm 4 (yellow/red) integrated Area,Worm 5 (orange) integrated Area
haao-1 Dependency skn-1_GLS317_atf-4_D4_1_ch00.tif,133282,141770,137852,153724,135863,11216,11954,11814,11603,11221
haao-1 Dependency skn-1_GLS317_atf-4_D4_2_ch00.tif,150070,871783,250622,15921,20093,13709,197070,41881,5362,6260
haao-1 Dependency skn-1_GLS317_atf-4_D4_3_ch00.tif,129029,126474,136478,125714,130553,9665,10048,10035,10412,9931
haao-1 Dependency skn-1_GLS317_atf-6_D4_1_ch00.tif,145770,175664,152159,160341,158326,10619,11349,10765,10872,11322
haao-1 Dependency skn-1_GLS317_atf-6_D4_2_ch00.tif,173513,189301,174878,175873,159650,10682,10606,10056,10847,10187
haao-1 Dependency skn-1_GLS317_atf-6_D4_3_ch00.tif,171660,193654,188567,186033,142580,11654,11557,10661,11046,9796
haao-1 Dependency skn-1_GLS317_daf-16_D4_1_ch00.tif,188029,133182,166188,175972,170230,11660,12745,10779,11977,11550
haao-1 Dependency skn-1_GLS317_daf-16_D4_2_ch00.tif,181749,167908,158441,200549,194338,11299,11130,10883,11333,10712
haao-1 Dependency skn-1_GLS317_daf-16_D4_3_ch00.tif,163248,174583,179312,158854,169261,10284,11016,11311,10277,11391
haao-1 Dependency skn-1_GLS317_ddb-1_D4_1_ch00.tif,209353,232833,213034,221683,224634,9695,11087,10740,11151,11926
haao-1 Dependency skn-1_GLS317_ddb-1_D4_2_ch00.tif,211025,234520,176129,212661,216049,10447,10346,9199,9676,9965
haao-1 Dependency skn-1_GLS317_ddb-1_D4_3_ch00.tif,194753,191336,196851,182448,253171,10044,9566,9696,10031,10760
haao-1 Dependency skn-1_GLS317_drp-1_D4_1_ch00.tif,94762,114100,215463,112873,0,7358,8862,17386,8500,0
haao-1 Dependency skn-1_GLS317_drp-1_D4_2_ch00.tif,89101,110258,100786,107824,127116,9488,10620,10179,10299,12413
haao-1 Dependency skn-1_GLS317_drp-1_D4_3_ch00.tif,123114,96442,117608,109388,104324,11049,9549,11058,10683,11231
haao-1 Dependency skn-1_GLS317_elt-1_D4_1_ch00.tif,165332,154063,166997,176256,191116,11293,11067,10664,11336,11135
haao-1 Dependency skn-1_GLS317_elt-1_D4_2_ch00.tif,147408,169148,156622,159357,158906,10869,11641,10754,10975,10535
haao-1 Dependency skn-1_GLS317_elt-1_D4_3_ch00.tif,181309,171318,171279,198904,200609,11284,10824,10654,11793,11046
haao-1 Dependency skn-1_GLS317_elt-2_D4_1_ch00.tif,45816,35095,36183,36212,33852,6265,6501,6981,7383,6774
haao-1 Dependency skn-1_GLS317_elt-2_D4_2_ch00.tif,34959,710351,38669,22591,0,6836,245655,8440,8190,0
haao-1 Dependency skn-1_GLS317_elt-2_D4_3_ch00.tif,15893,1204614,20509,11243,11887,5750,414319,6325,3907,4408
haao-1 Dependency skn-1_GLS317_elt-3_D4_1_ch00.tif,162049,201735,163600,173577,209846,10104,9705,9969,9680,11470
haao-1 Dependency skn-1_GLS317_elt-3_D4_2_ch00.tif,157398,156235,143489,157496,180891,9666,9671,9505,9995,10945
haao-1 Dependency skn-1_GLS317_elt-3_D4_3_ch00.tif,148613,160364,166134,173389,179564,9044,9490,9413,9668,9755
haao-1 Dependency skn-1_GLS317_EV_D4_1_ch00.tif,138641,140709,141706,127154,144377,10771,10575,10658,9790,10153
haao-1 Dependency skn-1_GLS317_EV_D4_2_ch00.tif,148226,146133,184172,152941,155413,9088,9507,9770,9688,9343
haao-1 Dependency skn-1_GLS317_EV_D4_3_ch00.tif,140509,169745,160328,172930,174871,9807,11304,11038,11388,11762
haao-1 Dependency skn-1_GLS317_fpn-1.2_D4_1_ch00.tif,193564,169822,135882,224341,193479,11333,10835,10224,12261,11118
haao-1 Dependency skn-1_GLS317_fpn-1.2_D4_2_ch00.tif,207200,222280,184447,168162,179585,10759,11552,10939,11209,11215
haao-1 Dependency skn-1_GLS317_fpn-1.2_D4_3_ch00.tif,172670,188819,231845,233129,243413,9249,9606,10184,11171,10856
haao-1 Dependency skn-1_GLS317_fpn-1.3_D4_1_ch00.tif,154848,188273,202167,176017,186184,11043,11703,11487,11629,10984
haao-1 Dependency skn-1_GLS317_fpn-1.3_D4_2_ch00.tif,155655,199683,166474,199824,214911,8423,9365,8712,8376,9718
haao-1 Dependency skn-1_GLS317_fpn-1.3_D4_3_ch00.tif,200165,201108,173872,219725,193523,11070,11362,11443,11530,12847
haao-1 Dependency skn-1_GLS317_ftn-1_D4_1_ch00.tif,193091,187382,161407,185188,194654,12089,11727,11440,11477,11191
haao-1 Dependency skn-1_GLS317_ftn-1_D4_2_ch00.tif,182466,164404,182921,175109,159167,12223,10987,11379,11805,11600
haao-1 Dependency skn-1_GLS317_ftn-1_D4_3_ch00.tif,180864,166618,195321,188377,173065,10534,9689,10069,11302,10703
haao-1 Dependency skn-1_GLS317_ftn-2_D4_1_ch00.tif,144519,137179,149416,146760,151937,11295,10665,12001,12429,11788
haao-1 Dependency skn-1_GLS317_ftn-2_D4_2_ch00.tif,134621,134756,160835,163492,151703,11288,11534,12701,12423,11754
haao-1 Dependency skn-1_GLS317_ftn-2_D4_3_ch00.tif,121020,169671,137332,148769,138264,10071,11930,10784,11321,9280
haao-1 Dependency skn-1_GLS317_gsk-3_D4_1_ch00.tif,89473,99278,102848,112882,119395,9972,10561,10177,10862,11436
haao-1 Dependency skn-1_GLS317_gsk-3_D4_2_ch00.tif,117681,115383,91325,127557,106565,10707,10689,10066,11158,11203
haao-1 Dependency skn-1_GLS317_gsk-3_D4_3_ch00.tif,91460,99572,112929,104797,109144,10488,10812,10968,11234,10834
haao-1 Dependency skn-1_GLS317_hif-1_D4_1_ch00.tif,189221,198468,199872,217417,207166,11171,10771,11220,12150,11281
haao-1 Dependency skn-1_GLS317_hif-1_D4_2_ch00.tif,224761,180664,226966,190762,217449,11559,10883,11463,11421,10901
haao-1 Dependency skn-1_GLS317_hif-1_D4_3_ch00.tif,172055,169721,159581,195891,182497,9408,9168,8847,9465,9657
haao-1 Dependency skn-1_GLS317_ire-1_D4_1_ch00.tif,161666,159525,167325,173205,169906,10340,11190,11075,11310,11303
haao-1 Dependency skn-1_GLS317_ire-1_D4_2_ch00.tif,154221,143702,142366,146883,179433,10401,9770,9812,9800,10428
haao-1 Dependency skn-1_GLS317_ire-1_D4_3_ch00.tif,144806,161528,175163,161543,167413,10433,11341,10998,11143,11449
haao-1 Dependency skn-1_GLS317_lgg-1_D4_1_ch00.tif,177892,162888,166332,179010,166426,10583,10777,10303,10850,10715
haao-1 Dependency skn-1_GLS317_lgg-1_D4_2_ch00.tif,172563,163203,181201,194175,183585,9828,9790,9910,9741,9952
haao-1 Dependency skn-1_GLS317_lgg-1_D4_3_ch00.tif,142079,145531,106642,136000,100266,10214,10865,9735,9774,9924
haao-1 Dependency skn-1_GLS317_nsy-1_D4_1_ch00.tif,132583,184242,130446,154276,128189,9712,10238,9437,10372,9783
haao-1 Dependency skn-1_GLS317_nsy-1_D4_2_ch00.tif,158558,149910,155351,149809,135039,10137,10333,10196,10736,10129
haao-1 Dependency skn-1_GLS317_nsy-1_D4_3_ch00.tif,131703,140111,157245,167101,114138,11167,10943,11170,11052,11118
haao-1 Dependency skn-1_GLS317_pek-1_D4_1_ch00.tif,164635,160056,164657,163340,182315,11232,10713,11079,10698,10860
haao-1 Dependency skn-1_GLS317_pek-1_D4_2_ch00.tif,156080,174816,172547,157262,216842,10346,11147,10271,10944,11674
haao-1 Dependency skn-1_GLS317_pek-1_D4_3_ch00.tif,156773,174655,179335,210088,182120,11254,11298,10358,12058,11411
haao-1 Dependency skn-1_GLS317_pha-4_D4_1_ch00.tif,126547,124014,105062,101924,102139,10536,9557,9856,9364,9826
haao-1 Dependency skn-1_GLS317_pha-4_D4_2_ch00.tif,121162,163215,114231,150334,138391,10431,10974,10349,11140,11259
haao-1 Dependency skn-1_GLS317_pha-4_D4_3_ch00.tif,124383,124547,149124,146844,157396,10434,10410,10789,11033,10974
haao-1 Dependency skn-1_GLS317_pmk-1_D4_1_ch00.tif,206271,221984,208761,195874,191574,12352,10737,11270,10992,11032
haao-1 Dependency skn-1_GLS317_pmk-1_D4_2_ch00.tif,211944,166687,207933,213910,190748,10309,9565,10103,11133,10138
haao-1 Dependency skn-1_GLS317_pmk-1_D4_3_ch00.tif,202509,199716,234994,223998,224170,10472,10800,10458,11430,10693
haao-1 Dependency skn-1_GLS317_pmk-2_D4_1_ch00.tif,166776,219261,189658,207764,212940,8972,10003,9796,10323,10236
haao-1 Dependency skn-1_GLS317_pmk-2_D4_2_ch00.tif,183992,205381,194141,183217,219717,10613,10712,10975,10987,11337
haao-1 Dependency skn-1_GLS317_pmk-2_D4_3_ch00.tif,207059,149974,196798,190809,197566,10238,11006,10381,10392,11024
haao-1 Dependency skn-1_GLS317_pmk-3_D4_1_ch00.tif,142705,156719,159255,173018,154238,10019,10048,11339,10915,10124
haao-1 Dependency skn-1_GLS317_pmk-3_D4_2_ch00.tif,178063,156797,156533,202144,190904,10299,11070,11270,11255,12221
haao-1 Dependency skn-1_GLS317_pmk-3_D4_3_ch00.tif,164853,176871,170492,163175,190196,10542,11094,11994,12231,12256
haao-1 Dependency skn-1_GLS317_rsks-1_D4_1_ch00.tif,119862,97043,127691,145342,105941,10803,9853,11348,11760,10643
haao-1 Dependency skn-1_GLS317_rsks-1_D4_2_ch00.tif,112059,123441,118739,123234,109362,10258,10228,9501,10733,9898
haao-1 Dependency skn-1_GLS317_rsks-1_D4_3_ch00.tif,102120,105170,98466,107148,116211,9896,10634,11079,9923,10320
haao-1 Dependency skn-1_GLS317_sek-1_D4_1_ch00.tif,141166,137192,167013,162629,179773,10193,10840,10116,10590,11300
haao-1 Dependency skn-1_GLS317_sek-1_D4_2_ch00.tif,145012,142957,141346,149180,155461,10049,10169,9833,10830,10279
haao-1 Dependency skn-1_GLS317_sek-1_D4_3_ch00.tif,137542,118940,119133,121478,133570,11083,10553,10609,10411,10903
haao-1 Dependency skn-1_GLS317_sgk-1_D4_1_ch00.tif,81530,87442,97772,93096,79325,12126,12066,12465,13135,11225
haao-1 Dependency skn-1_GLS317_sgk-1_D4_2_ch00.tif,74158,89012,77572,72999,91708,9177,10373,9023,9608,9661
haao-1 Dependency skn-1_GLS317_sgk-1_D4_3_ch00.tif,70411,84598,80190,91994,86127,8977,8777,9875,9400,9127
haao-1 Dependency skn-1_GLS317_sir-2.1_D4_1_ch00.tif,153974,163143,184385,171899,183180,10812,11480,13252,12368,14191
haao-1 Dependency skn-1_GLS317_sir-2.1_D4_2_ch00.tif,165927,168039,223324,198965,197383,10331,10849,13093,12103,12225
haao-1 Dependency skn-1_GLS317_sir-2.1_D4_3_ch00.tif,168654,174777,195195,188011,154892,10892,11134,11074,11902,11617
haao-1 Dependency skn-1_GLS317_skn-1_D4_1_ch00.tif,102964,79070,84941,90456,89252,11099,11159,10575,10844,11182
haao-1 Dependency skn-1_GLS317_skn-1_D4_2_ch00.tif,90136,103633,101942,97667,100078,10024,10395,10467,10332,10461
haao-1 Dependency skn-1_GLS317_skn-1_D4_3_ch00.tif,103858,93582,117649,109900,123271,10253,10421,10364,10914,10992
haao-1 Dependency skn-1_GLS317_smf-1_D4_1_ch00.tif,149274,193697,100882,177687,220272,10854,11652,9815,12291,12960
haao-1 Dependency skn-1_GLS317_smf-1_D4_2_ch00.tif,228096,190665,143142,161419,195701,12045,10254,10529,10885,12204
haao-1 Dependency skn-1_GLS317_smf-1_D4_3_ch00.tif,145367,176348,169561,201314,210787,10581,11412,10401,10847,11803
haao-1 Dependency skn-1_GLS317_smf-2_D4_1_ch00.tif,185738,213843,203915,161958,186941,11352,10826,11013,10628,12078
haao-1 Dependency skn-1_GLS317_smf-2_D4_2_ch00.tif,155534,190271,199502,195372,228477,10090,11060,10037,11906,12014
haao-1 Dependency skn-1_GLS317_smf-2_D4_3_ch00.tif,193529,200707,201462,211106,233320,11009,10453,11675,11168,11699
haao-1 Dependency skn-1_GLS317_tir-1_D4_1_ch00.tif,150973,150391,156141,161086,170327,10581,11656,11907,11306,11984
haao-1 Dependency skn-1_GLS317_tir-1_D4_2_ch00.tif,197844,157157,150058,199451,155700,13427,11304,11172,12036,11425
haao-1 Dependency skn-1_GLS317_tir-1_D4_3_ch00.tif,166231,170888,149079,178594,156633,11278,12380,12710,12984,12612
haao-1 Dependency skn-1_GLS317_vhp-1_D4_1_ch00.tif,110259,114205,111972,100322,99685,8342,8233,8055,8074,7411
haao-1 Dependency skn-1_GLS317_vhp-1_D4_2_ch00.tif,111221,104708,110423,134491,114047,7875,7631,7635,8565,7899
haao-1 Dependency skn-1_GLS317_vhp-1_D4_3_ch00.tif,100100,113283,96152,100658,71666,7653,8463,7299,7802,7375
haao-1 Dependency skn-1_GLS317_xbp-1_D4_1_ch00.tif,100600,148792,128999,118926,128777,9821,11325,10272,10044,10472
haao-1 Dependency skn-1_GLS317_xbp-1_D4_2_ch00.tif,136092,146087,155131,182502,170658,10664,9981,11314,11585,11795
haao-1 Dependency skn-1_GLS317_xbp-1_D4_3_ch00.tif,141021,144793,135351,133267,141595,8141,7805,7920,8525,8398
haao-1 Dependency skn-1_OP341_EV_D4_1_ch00.tif,45936,49283,48558,50891,51464,9960,10883,10241,10352,10978
haao-1 Dependency skn-1_OP341_EV_D4_2_ch00.tif,56072,58929,64253,61802,59903,10415,10782,11580,11660,11007
haao-1 Dependency skn-1_OP341_EV_D4_3_ch00.tif,57279,463990,69041,20137,0,10538,129784,13493,6884,0
